! note: initial lines of file can contain comments
!
            52 -- model for mesa/star, with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      5.3506842667144049D+01
                    model_number                            2908
                        star_age      5.0480109868242461D+06
                       initial_z      2.1789999999999999D-03
                        n_shells                            2375
                        net_name   'basic2.net'
                         species                              10

                lnd                        lnT                        lnR                          L                         dq                      omega                   conv_vel                   h1                         he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       ca40                       fe56     
    1    -2.2954789198683664D+01     1.0287811044405397D+01     2.8532687376846602D+01     3.2187518111627917D+39     5.0000000000182129D-13     7.1002709344718315D-06     9.7434776151327966D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
    2    -2.2954161918445468D+01     1.0287935622243753D+01     2.8532684739168029D+01     3.2187518121120635D+39     1.1342003140773586D-12     7.1002709344718315D-06     9.7434776151327966D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
    3    -2.2952998893112059D+01     1.0288167026469321D+01     2.8532678759531044D+01     3.2187518142583169D+39     1.9026009422265559D-12     7.1002709344718333D-06     8.2248299567946023D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
    4    -2.2950642079548031D+01     1.0288637851983373D+01     2.8532668740214655D+01     3.2187518178339313D+39     4.2808521200096265D-12     7.1002709344718377D-06     8.1304263835600512D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
    5    -2.2945082766754594D+01     1.0289758685174430D+01     2.8532646248724171D+01     3.2187518257669545D+39     1.0464305182245701D-11     7.1002709344718617D-06     7.8977647580458887D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
    6    -2.2937221967317706D+01     1.0291362629188038D+01     2.8532591567994423D+01     3.2187518445173779D+39     1.0712039679931435D-11     7.1002709344719860D-06     7.7600263516643721D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
    7    -2.2924752589547665D+01     1.0293971346044121D+01     2.8532536021841918D+01     3.2187518627946434D+39     2.3881605576905253D-11     7.1002709344722072D-06     7.1162337909384190D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
    8    -2.2906579169093346D+01     1.0297887925840951D+01     2.8532413688222483D+01     3.2187519003681415D+39     2.8494421923813572D-11     7.1002709344730119D-06     6.6635528930049510D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
    9    -2.2884923224484863D+01     1.0302767126737291D+01     2.8532270296975447D+01     3.2187519398344788D+39     3.7452501360129635D-11     7.1002709344744694D-06     5.7763378274294217D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   10    -2.2862001203831900D+01     1.0308175922318967D+01     2.8532085773265606D+01     3.2187519836250899D+39     3.6644886897673374D-11     7.1002709346188890D-06     5.0294651754210901D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   11    -2.2842877134886321D+01     1.0312898803821315D+01     2.8531909224353494D+01     3.2187520184404356D+39     2.8925479949785920D-11     7.1002709348284405D-06     4.3340600872913217D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   12    -2.2820474146227294D+01     1.0318780608969226D+01     2.8531772441746902D+01     3.2187520408464873D+39     5.3718748478176747D-11     7.1002709348544108D-06     2.8590528612636546D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   13    -2.2790138404040658D+01     1.0327235856813119D+01     2.8531523900940962D+01     3.2187520719188680D+39     6.7463058409782439D-11     7.1002709348594450D-06     1.3924198370488161D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   14    -2.2766390233454534D+01     1.0334176676609234D+01     2.8531220845193558D+01     3.2187520937883298D+39     3.4405367038593417D-11     7.1002709402753971D-06     5.2601127094460800D+03     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   15    -2.2748077885583621D+01     1.0339951743350788D+01     2.8531069814639110D+01     3.2187520984118367D+39     5.1608050557891722D-11     7.1002709434029576D-06     3.5258808005525268D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   16    -2.2727417135729721D+01     1.0346751252971020D+01     2.8530847254957127D+01     3.2187520981891397D+39     5.1608050557891926D-11     7.1002709435065778D-06     5.9276955976643286D+03     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   17    -2.2711186049724294D+01     1.0352310820431207D+01     2.8530629102182402D+01     3.2187520902908466D+39     3.4405367038600345D-11     7.1002709460210429D-06     1.2293212883693793D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074752D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   18    -2.2696112755264379D+01     1.0357792046793348D+01     2.8530485930938889D+01     3.2187520812254146D+39     5.1608050557894662D-11     7.1002709484510813D-06     2.8716361149032479D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   19    -2.2678951190567997D+01     1.0364244830966735D+01     2.8530274274271739D+01     3.2187520626804557D+39     5.1608050557891980D-11     7.1002709499726037D-06     3.7293659071648708D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   20    -2.2660417468394018D+01     1.0371622392890322D+01     2.8530066087905993D+01     3.2187520389508299D+39     6.8810734077191080D-11     7.1002709507837113D-06     5.4869934790116978D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   21    -2.2636260762335012D+01     1.0381883085970717D+01     2.8529793406716784D+01     3.2187520006608081D+39     1.0321610111578776D-10     7.1002709519830951D-06     7.7216879725590290D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
